date,time,title,meeting_type,source,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page,video_id
09/02/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-65,
08/28/2025,5:00pm,Urban Renewal Authority Board,Urban Renewal Authority Board,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-8,
08/26/2025,6:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-8149056cee0f47979c73a55b9f8d6e5d.pdf,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Packet-8149056cee0f47979c73a55b9f8d6e5d.pdf,,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-57,
08/19/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-f155a623d6684bbb9f49e9f340a6065a.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4335/2025-08-19_action_agenda.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-64,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-64,
08/12/2025,6:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-c8aa0a7c04d848dfbf47b2ea7c75692f.pdf,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Packet-c8aa0a7c04d848dfbf47b2ea7c75692f.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-29,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-29,
08/12/2025,5:00pm,City Council Special Meeting,City Council Special Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-fed1a6b4ccb844cbbc15d11310117fff.pdf,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Packet-fed1a6b4ccb844cbbc15d11310117fff.pdf,,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-special-meeting-4,
07/24/2025,5:00pm,Urban Renewal Authority Board,Urban Renewal Authority Board,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-7,
07/15/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-2db544850e564d52a265a612fdc946c0.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4327/2025-07-15_action_agenda.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-57,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-57,
07/08/2025,6:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-0ded58bad4ff42aa9b69c30c39dc3cff.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4325/7-8-2025_work_session_summaries.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-56,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-56,
07/01/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-6659d39ab5194c6f9abee5917e18a074.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4321/2025-07-01_city_council_minutes.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-63,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-63,
06/26/2025,5:00pm,Urban Renewal Authority Board Workshop,Urban Renewal Authority Workshop,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-workshop,
06/26/2025,4:30pm,Urban Renewal Authority Board,Urban Renewal Authority Board,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-6,
06/17/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-1b8aaf903396446db23335580b2462a4.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4316/2025-06-17_minutes.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-62,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-62,
06/10/2025,6:00pm,City Council Adjourned Meeting,City Council Adjourned Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-a2eba47b1b104579b5644000435240a6.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4313/2025-06-10_city_council_minutes.pdf,,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-adjourned-meeting-5,
06/05/2025,4:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-f3c591b2934d41c090b8a42d62513c76.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4311/6-5-2025_work_session_summaries.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-55,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-55,
06/03/2025,7:00pm,City Council Work Session (Meeting Video Begins at 2:40),City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-402828b153bb4e9981a99a3f3e050094.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4310/work_session_summary-06_03_2025-work_session.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-meeting-video-begins-240,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-meeting-video-begins-240,
06/03/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-f572cc4c4e9946ac8c20b85aaa33611f.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4309/june_3_2025_cc_minutes.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-61,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-61,
05/27/2025,6:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-c69533a63acd41b9a948209bae430a63.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4306/5.27.2025_ws_summary_civic_assembly_002.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-54,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-54,
05/22/2025,4:30pm,Urban Renewal Authority Board,Urban Renewal Authority Board,municode,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-5,
05/20/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-2a2164da634545999e82e3225461d5b9.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4304/may_20_2025_cc_minutes.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-60,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-60,
05/13/2025,5:00pm,City Council Work Session,City Council Work Session,municode,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-b93db8b9340d485fa3726d36e6f550a6.pdf,,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4302/5-13-2025_work_session_summaries.pdf,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-53,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-53,
